Epoch 1/10, Train Loss: 1.5521, Validation Accuracy: 0.3556
Epoch 2/10, Train Loss: 1.2716, Validation Accuracy: 0.1227
Epoch 3/10, Train Loss: 1.2188, Validation Accuracy: 0.4679
Epoch 4/10, Train Loss: 1.0718, Validation Accuracy: 0.2861
Epoch 5/10, Train Loss: 0.9768, Validation Accuracy: 0.5912
Epoch 6/10, Train Loss: 0.9142, Validation Accuracy: 0.5425
Epoch 7/10, Train Loss: 0.8821, Validation Accuracy: 0.2179
Epoch 8/10, Train Loss: 0.8452, Validation Accuracy: 0.2326
Epoch 9/10, Train Loss: 0.8189, Validation Accuracy: 0.5361
Epoch 10/10, Train Loss: 0.8282, Validation Accuracy: 0.3195
Epoch 1/20, Train Loss: 1.6442, Validation Accuracy: 0.2592
Epoch 2/20, Train Loss: 1.4404, Validation Accuracy: 0.3442
Epoch 3/20, Train Loss: 1.3729, Validation Accuracy: 0.4452
Epoch 4/20, Train Loss: 1.3461, Validation Accuracy: 0.4247
Epoch 5/20, Train Loss: 1.3366, Validation Accuracy: 0.4933
Epoch 6/20, Train Loss: 1.3014, Validation Accuracy: 0.5468
Epoch 7/20, Train Loss: 1.2938, Validation Accuracy: 0.3075
Epoch 8/20, Train Loss: 1.2826, Validation Accuracy: 0.5523
Epoch 9/20, Train Loss: 1.2761, Validation Accuracy: 0.3430
Epoch 10/20, Train Loss: 1.2661, Validation Accuracy: 0.3479
Epoch 11/20, Train Loss: 1.2567, Validation Accuracy: 0.5431
Epoch 12/20, Train Loss: 1.2484, Validation Accuracy: 0.4703
Epoch 13/20, Train Loss: 1.2045, Validation Accuracy: 0.4771
Epoch 14/20, Train Loss: 1.1518, Validation Accuracy: 0.4712
Epoch 15/20, Train Loss: 1.1140, Validation Accuracy: 0.5107
Epoch 16/20, Train Loss: 1.1058, Validation Accuracy: 0.5985
Epoch 17/20, Train Loss: 1.1021, Validation Accuracy: 0.6233
Epoch 18/20, Train Loss: 1.0818, Validation Accuracy: 0.5643
Epoch 19/20, Train Loss: 1.0760, Validation Accuracy: 0.5930
Epoch 20/20, Train Loss: 1.0693, Validation Accuracy: 0.5401
